"Monthly counts of all registered deaths for 'unvaccinated' and 'ever vaccinated' by age group; for all deaths and deaths involving COVID-19, deaths occurring between 1 January 2021 and 31 May 2022, England"					
This worksheet contains 1 table.					
"Source: Source: Office for National Statistics, National Immunisation Management Service."					
Cause of Death	Year	Month	Age group	Vaccination status	Count of Deaths
Deaths involving COVID-19	2021	July	50-59	Unvaccinated	85
Deaths involving COVID-19	2021	July	50-59	Ever vaccinated	64
Deaths involving COVID-19	2021	July	60-69	Unvaccinated	97
Deaths involving COVID-19	2021	July	60-69	Ever vaccinated	130
Deaths involving COVID-19	2021	July	70-79	Unvaccinated	99
Deaths involving COVID-19	2021	July	70-79	Ever vaccinated	226
Deaths involving COVID-19	2021	July	80-89	Unvaccinated	82
Deaths involving COVID-19	2021	July	80-89	Ever vaccinated	341
Deaths involving COVID-19	2021	July	90+	Unvaccinated	31
Deaths involving COVID-19	2021	July	90+	Ever vaccinated	178
Deaths involving COVID-19	2021	August	10-39	Unvaccinated	63
Deaths involving COVID-19	2021	August	10-39	Ever vaccinated	21
Deaths involving COVID-19	2021	August	40-49	Unvaccinated	75
Deaths involving COVID-19	2021	August	40-49	Ever vaccinated	48
Deaths involving COVID-19	2021	August	50-59	Unvaccinated	174
Deaths involving COVID-19	2021	August	50-59	Ever vaccinated	111
Deaths involving COVID-19	2021	August	60-69	Unvaccinated	189
Deaths involving COVID-19	2021	August	60-69	Ever vaccinated	236
Deaths involving COVID-19	2021	August	70-79	Unvaccinated	157
Deaths involving COVID-19	2021	August	70-79	Ever vaccinated	480
Deaths involving COVID-19	2021	August	80-89	Unvaccinated	143
Deaths involving COVID-19	2021	August	80-89	Ever vaccinated	672
Deaths involving COVID-19	2021	August	90+	Unvaccinated	48
Deaths involving COVID-19	2021	August	90+	Ever vaccinated	343
Deaths involving COVID-19	2021	September	10-39	Unvaccinated	48
Deaths involving COVID-19	2021	September	10-39	Ever vaccinated	18
Deaths involving COVID-19	2021	September	40-49	Unvaccinated	69
Deaths involving COVID-19	2021	September	40-49	Ever vaccinated	38
Deaths involving COVID-19	2021	September	50-59	Unvaccinated	151
Deaths involving COVID-19	2021	September	50-59	Ever vaccinated	129
Deaths involving COVID-19	2021	September	60-69	Unvaccinated	154
Deaths involving COVID-19	2021	September	60-69	Ever vaccinated	310
Deaths involving COVID-19	2021	September	70-79	Unvaccinated	138
Deaths involving COVID-19	2021	September	70-79	Ever vaccinated	689
Deaths involving COVID-19	2021	September	80-89	Unvaccinated	144
Deaths involving COVID-19	2021	September	80-89	Ever vaccinated	849
